平均香港暑熱指數 - 京士柏
Mean HKHI - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,18.3,C
2024,1,2,16.7,C
2024,1,3,17.0,C
2024,1,4,14.8,C
2024,1,5,17.5,C
2024,1,6,19.2,C
2024,1,7,17.0,C
2024,1,8,16.6,C
2024,1,9,19.2,C
2024,1,10,17.5,C
2024,1,11,16.3,C
2024,1,12,16.9,C
2024,1,13,14.9,C
2024,1,14,15.6,C
2024,1,15,18.8,C
2024,1,16,16.3,C
2024,1,17,16.4,C
2024,1,18,19.9,C
2024,1,19,19.2,C
2024,1,20,20.5,C
2024,1,21,15.7,C
2024,1,22,12.7,C
2024,1,23,5.7,C
2024,1,24,7.1,C
2024,1,25,9.7,C
2024,1,26,12.5,C
2024,1,27,13.0,C
2024,1,28,12.2,C
2024,1,29,14.4,C
2024,1,30,17.7,C
2024,1,31,18.7,C
2024,2,1,21.6,C
2024,2,2,22.3,C
2024,2,3,18.5,C
2024,2,4,19.2,C
2024,2,5,19.2,C
2024,2,6,17.4,C
2024,2,7,16.1,C
2024,2,8,11.0,C
2024,2,9,10.6,C
2024,2,10,12.2,C
2024,2,11,14.1,C
2024,2,12,13.5,C
2024,2,13,16.9,C
2024,2,14,20.0,C
2024,2,15,20.8,C
2024,2,16,18.7,C
2024,2,17,17.9,C
2024,2,18,20.8,C
2024,2,19,21.8,C
2024,2,20,23.2,C
2024,2,21,23.7,C
2024,2,22,22.9,C
2024,2,23,18.6,C
2024,2,24,17.7,C
2024,2,25,16.2,C
2024,2,26,16.8,C
2024,2,27,15.2,C
2024,2,28,16.8,C
2024,2,29,18.5,C
2024,3,1,10.5,C
2024,3,2,9.6,C
2024,3,3,14.3,C
2024,3,4,18.5,C
2024,3,5,23.6,C
2024,3,6,22.7,C
2024,3,7,15.7,C
2024,3,8,15.3,C
2024,3,9,13.1,C
2024,3,10,14.2,C
2024,3,11,16.5,C
2024,3,12,16.4,C
2024,3,13,16.3,C
2024,3,14,17.5,C
2024,3,15,18.4,C
2024,3,16,19.9,C
2024,3,17,22.8,C
2024,3,18,20.3,C
2024,3,19,18.4,C
2024,3,20,17.0,C
2024,3,21,17.5,C
2024,3,22,21.6,C
2024,3,23,23.5,C
2024,3,24,25.3,C
2024,3,25,24.9,C
2024,3,26,25.3,C
2024,3,27,20.1,C
2024,3,28,23.8,C
2024,3,29,24.5,C
2024,3,30,25.0,C
2024,3,31,25.4,C
2024,4,1,25.4,C
2024,4,2,24.9,C
2024,4,3,25.4,C
2024,4,4,25.3,C
2024,4,5,24.6,C
2024,4,6,22.6,C
2024,4,7,24.4,C
2024,4,8,25.0,C
2024,4,9,20.3,C
2024,4,10,20.5,C
2024,4,11,22.6,C
2024,4,12,24.7,C
2024,4,13,25.5,C
2024,4,14,26.0,C
